initials,todays_date,mouse_id,sex,strain,genotype,bd,sac_date,disposition_notes,treatment,date_of_first_treatment,treatment_duration,injection_date,virus_1,virus_2,virus_3,evidence_of_tumor,date_tumor_reported,dox_tx,tissue_collected,zinc_fixed,formalin_fixed,parafin_block_number_s,slide_number_s,h_e,gross_visualization_of_lung_nodules,age_at_sac,drug_treatment,reason_for_sac,start_of_treatment,treatment_length,rcas_injection,injection_route,age_at_tumor_onset,todays_date_original,sac_date_original,injection_date_original,date_tumor_reported_original
RH,2021-03-19,25087-00,F,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,2020-10-20,2021-03-19,,,,,2020-10-20,RCAS Cre,,,No,,,Brain,No,Brain,,,,,150,,,,,,,,44274,44274,44124,
RH,2021-03-19,25088-01,F,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,2020-10-20,2021-03-19,,,,,2020-10-20,RCAS Cre,,,No,,,Brain,No,Brain,,,,,150,,,,,,,,44274,44274,44124,
RH,2021-03-19,25089-03,F,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,2020-10-20,2021-03-19,,,,,2020-10-20,RCAS Cre,,,No,,,Brain,No,Brain,,,,,150,,,,,,,,44274,44274,44124,
RH,2021-03-19,25090-00,M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,2020-10-20,2021-03-19,,,,,2020-10-20,RCAS Cre,,,No,,,Brain,No,Brain,,,,,150,,,,,,,,44274,44274,44124,
RH,2021-03-19,25091-01,M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,2020-10-20,2021-03-19,,,,,2020-10-20,RCAS Cre,,,No,,,Brain,No,Brain,,,,,150,,,,,,,,44274,44274,44124,
RH,2021-03-19,25092-03,M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,2020-10-20,2021-03-19,,,,,2020-10-20,RCAS Cre,,,No,,,Brain,No,Brain,,,,,150,,,,,,,,44274,44274,44124,
RH,2021-03-18,25080-00,F,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2020-10-19,2021-03-18,"barbared, but otherwise looks healthy",,,,2020-10-19,RCAS Cre,,,No,,,B,No,B,,,,,150,,,,,,,,44273,44273,44123,
RH,2021-03-18,25081-01,F,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2020-10-19,2021-03-18,"barbared, but otherwise looks healthy",,,,2020-10-19,RCAS Cre,,,No,,,B,No,B,,,,,150,,,,,,,,44273,44273,44123,
RH,2021-03-18,25082-03,F,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2020-10-19,2021-03-18,"barbared, but otherwise looks healthy",,,,2020-10-19,RCAS Cre,,,No,,,B,No,B,,,,,150,,,,,,,,44273,44273,44123,
RH,2021-03-18,25083-00,M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2020-10-19,2021-03-18,looks healthy,,,,2020-10-19,RCAS Cre,,,No,,,B,No,B,,,,,150,,,,,,,,44273,44273,44123,
RH,2021-03-18,25084-01,M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2020-10-19,2021-03-18,looks healthy,,,,2020-10-19,RCAS Cre,,,No,,,B,No,B,,,,,150,,,,,,,,44273,44273,44123,
RH,2021-03-18,25085-03,M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2020-10-19,2021-03-18,looks healthy,,,,2020-10-19,RCAS Cre,,,No,,,B,No,B,,,,,150,,,,,,,,44273,44273,44123,
RH,2021-03-18,25086-10,M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2020-10-19,2021-03-18,looks healthy,,,,2020-10-19,RCAS Cre,,,No,,,B,No,B,,,,,150,,,,,,,,44273,44273,44123,
RH,2021-03-18,26064-10,F,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2020-10-19,2021-03-18,"large head tumor, no other symptoms; Brain appears normal, head tumor is outside of the skull, one piece was frozen, one piece was used to create a cell line, and the rest of the head tumor was fixed.",,,,2020-10-19,RCAS Cre-U6-sgRNA-NF1-Ex2,,,Yes,2021-03-10,,Brain and head tumor,No,Brain and head tumor,,,,,150,,,,,,,,44273,44273,44123,44265
ZL,2021-03-17,25743,M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2020-12-26,2021-03-17,Sacked to tumor size; Massive tumor encasing head. Brain unremovable. Cryo sample collected and cell line started,,,,2021-12-28,RCAS Cre-U6sgRNA-ex2-NF1,,,Yes,,,Brain,No,full brain,HCI-21-25743,,yes,No,81,,,,,,,,44272,44272,44558,
ZL,2021-03-17,25767,M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2020-12-28,2021-03-17,paralyzed; Brain looked normal,,,,2021-12-28,RCAS Cre-U6sgRNA-ex2-NF1,,,No,,,Brain,No,full brain,HCI-21-25767,,yes,No,79,,,,,,,,44272,44272,44558,
ZL,2021-03-17,26024,M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2021-01-20,2021-03-17,Sacked for tumor size; Massive tumor encasing head. Brain unremovable.,,,,2021-01-22,RCAS Cre-U6sgRNA-ex2-NF1,,,Yes,2021-02-22,,Brain,No,full brain,HCI-21-26024,,yes,No,56,,,,,,,,44272,44272,44218,44249
ZL,2021-03-15,25819,F,All Alleles,All Alleles,2021-01-01,,"T1: Right shoulder/head; Reason for sac: Tumor Size; Skull intact, brain normal.; Lungs had lots of nodules and large tumor growing out of them; T1 sample taken for cell line, cryogenic sample; unable to take blood",,,,2021-01-03,RCAS myrAkt1,RCAS Cre,,Yes (2),2021-03-03,,"T1, T2 (on lungs), B, L",No,"T1, B, L",,,,Yes,70,BRAFi + MEKi,,,,,,,44270,44267_(filled out necropsy file on 15th),44199,44258
ZL,2021-03-15,25822,M,All Alleles,All Alleles,2021-01-01,,"T1: Right shoulder/head; Reason for sac: Tumor Size; Skull intact, brain normal.; All organs appeared normal; T1 sample taken for cell line, cryogenic sample; Blood taken",,,,2021-01-03,RCAS myrAkt1,RCAS Cre,,Yes (1),,,"T1, B, L",No,"T1, B, L",,,,No,70,BRAFi + MEKi,,,,,,,44270,44267_(filled out necropsy file on 15th),44199,
CS,2021-03-12,25852,F,All Alleles,All Alleles,2021-01-04,2021-03-12,"Large tumor, labored breathing; Skull intact, brain normal.; T1 sample for flow cytometry taken.",,,,2021-01-05,RCAS myrAkt1,RCAS Cre,,Yes (1),2021-03-04,,"T1, B, L",No,"T1, B, L",,,,Yes,67,,,,,,,,44267,44267,44201,44259
ZL,2021-03-05,24801,F,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2020-09-11,2021-03-03,End of experiment; No evidence of tumor,,,,2020-09-22,RCAS Cre-U6sgRNA-ex2-NF1,,,No,N/A,,Brain,No,full brain,HCI-21-24805,,yes,No,173,,,,,,,,44260,44258,44096,N/A
ZL,2021-03-05,24802,F,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2020-09-11,2021-03-03,End of experiment; No evidence of tumor,,,,2020-09-22,RCAS Cre-U6sgRNA-ex2-NF1,,,No,N/A,,Brain,No,full brain,HCI-21-24805,,yes,No,173,,,,,,,,44260,44258,44096,N/A
ZL,2021-03-05,24803,F,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2020-09-11,2021-03-03,End of experiment; No evidence of tumor,,,,2020-09-22,RCAS Cre-U6sgRNA-ex2-NF1,,,No,N/A,,Brain,No,full brain,HCI-21-24805,,yes,No,173,,,,,,,,44260,44258,44096,N/A
ZL,2021-03-05,24805,M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2020-09-11,2021-03-03,End of experiment; No evidence of tumor,,,,2020-09-22,RCAS Cre-U6sgRNA-ex2-NF1,,,No,N/A,,Brain,No,full brain,HCI-21-24805,,yes,No,173,,,,,,,,44260,44258,44096,N/A
ZL,2021-03-05,24807,M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2020-09-11,2021-03-03,End of experiment; No evidence of tumor,,,,2020-09-22,RCAS Cre-U6sgRNA-ex2-NF1,,,No,N/A,,Brain,No,full brain,HCI-21-24807,,yes,No,173,,,,,,,,44260,44258,44096,N/A
ZL,2021-03-05,25753,M,All Alleles,All Alleles,2020-12-27,2021-03-05,"R: shoulder and ear; Reason for sac: tumor size; Skull intact, brain normal.; T1 for cryogenic sample, and cell line, large tumor growing on lung did not dub as T2 since on lung.; No blood",BRAFi + MEKi + FAKi,,,2020-12-28,RCAS myrAkt1,RCAS Cre,,Yes (1),,,"T1, B, L",No,"T1, B, L",,,,Yes,68,,,,,,,,44260,44260,44193,
ZL,2021-03-05,25755,F,All Alleles,All Alleles,2020-12-27,2021-03-05,"Middle of back neck; Reason for sac: very sick; Skull intact, brain normal.; T1 too small for cell line, and frozen sample; No blood",BRAFi + MEKi + FAKi,,,2020-12-28,RCAS myrAkt1,RCAS Cre,,Yes (1),,,"T1, B, L",No,"T1, B, L",,,,Yes,68,,,,,,,,44260,44260,44193,
ZL,2021-03-04,25503,M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2020-12-02,2021-03-04,"Sick and hunched over, slight domed head.; Brain was abnormally large and swollen but no clear sign of tumor tissue found.",,,,2021-12-03,RCAS Cre-U6sgRNA-ex2-NF1,,,No,2021-03-04,,Brain,No,full brain,HCI-21-25503,,yes,No,92,,,,,,,,44259,44259,44533,44259
ZL,2021-03-04,25505,M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2020-12-02,2021-03-04,"Foun dead, must have died th enight before.; Brain was in good condition but hard to tell if swelling was present. Slight domed head noticed when animal was alive.",,,,2021-12-03,RCAS Cre-U6sgRNA-ex2-NF1,,,"No, domed head noticed when still alive-swollen brain but found dead so hard to tell.",2021-02-19,,Brain,No,full brain,HCI-21-25505,,yes,No,92,,,,,,,,44259,44259,44533,44246
ZL,2021-03-03,25238,F,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,2020-11-06,2021-03-03,"Large head tumor; Large tumor growing on head, cell line started and tissue frozen as well as formalin fixed. Slides would be good NF1 tumor control.",,,,2020-11-06,RCAS Cre-U6sgRNA-ex2-NF1,,,Yes,2021-02-03,,Brain,No,full brain,HCI-21-25238,,yes,No,117,,,,,,,,44258,44258,44141,44230
ZL,2021-03-03,25238,F,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,2020-11-06,2021-03-03,"Large head tumor; Large tumor growing on head, cell line started and tissue frozen as well as formalin fixed. Slides would be good NF1 tumor control.",,,,2020-11-06,RCAS Cre-U6sgRNA-ex2-NF1,,,Yes,2021-02-03,,Brain,No,full brain,HCI-21-25238,,yes,No,117,,,,,,,,44258,44258,44141,44230
ZL,2021-03-03,25766,M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2020-12-28,2021-03-03,paralysis; Brain was completely hollow and filled with liquid. Mouse sacked due to paralysis,,,,2021-12-28,RCAS Cre-U6sgRNA-ex2-NF1,,,Maybe,2021-01-29,,Brain,No,full brain,HCI-21-25766,,yes,No,65,,,,,,,,44258,44258,44558,44225
ZL,2021-03-01,25363-00,M,All Alleles,All Alleles,2020-11-17,2021-02-26,"right Side of head; Reason for sac: ulcerating tumor; Skull intact, brain normal.; organs looked normal; T1, for cryogenic sample; blood collected",,,,2020-11-20,RCAS myrAkt1,RCAS Cre,,Yes (1),,,"T1, B, L",No,"T1, B, L",,,,no,101,,,,,,,,44256,44253,44155,
ZL,2021-03-01,25749-00,F,All Alleles,All Alleles,2020-12-27,2021-03-01,"right Side of head/ear; Reason for sac: tumor size; Skull intact, brain normal.; organs looked normal; T1, for cryogenic sample, cell line made; blood collected",BRAFi + MEKi,,,2021-12-28,RCAS myrAkt1,RCAS Cre,,Yes (1),,,"T1, B, L",No,"T1, B, L",,,,no,64,,,,,,,,44256,44256,44558,
ZL,2021-03-01,25750,F,All Alleles,All Alleles,2020-12-27,2021-03-01,"T1: right shoulder/ear; Reason for sac: Tumor Size; Skull intact, brain normal.; Organs normal; T1 sample taken for cell line, cryogenic sample; Blood sample taken",BRAFi + MEKi,,,2020-12-28,RCAS myrAkt1,RCAS Cre,,Yes (1),2021-02-22,,"T1, B, L",No,"T1, B, L",,,,No,64,BRAFi + MEKi,,,,,,,44256,44256,44193,44249
ZL,2021-03-01,25820-13,F,All Alleles,All Alleles,2021-01-01,2021-03-17,"Sick and tumor growing on R Shoulder; Reason for sac: sick; Skull intact, brain normal.; Cryogenic sample and Cell line started; No blood collected",BRAFi + MEKi,,,2021-01-03,RCAS myrAkt1,RCAS Cre,,Yes (1),,,"B, L, T1",No,"B, L, T1",,,,No,75,,,,,,,,44256,44272,44199,
ZL,2021-03-01,25823-33,M,All Alleles,All Alleles,2021-01-01,2021-03-01,"paralyzed, no primary tumor; Reason for sac: paralysis; Skull intact, brain normal.; small tumor growing off of lungs hence the question mark on t1; No cell line, cryogenic sample, or blood collected",,,,2021-01-03,RCAS myrAkt1,RCAS Cre,,Yes (1),,,"B, L, T1?",No,"B, L, T1?",,,,"yes, more nodules than lung",59,,,,,,,,44256,44256,44199,
ZL,2021-03-01,25823,M,All Alleles,All Alleles,2021-01-01,2021-03-01,"Paralyzed and sacked; Reason for sack: paralyzed; Skull intact, brain normal.; Tumor groing on lung did not designate as tumor T1 no cryogenic samples or cell lines too small.; No blood",BRAFi + MEKi + FAKi,,,2021-01-03,RCAS myrAkt1,RCAS Cre,,Yes (1),,,"t1?, B, L",No,"t1?, B, L",,,,Yes,59,,,,,,,,44256,44256,44199,
ZL,2021-02-24,25644,M,All Alleles,All Alleles,2020-12-12,2021-02-24,"T1: right shoulder/ear; Reason for sac: Tumor Size; Skull intact, brain normal.; Organs normal; T1 sample taken for cell line, cryogenic sample; Blood sample taken",BRAFi + MEKi,,,2021-12-14,RCAS myrAkt1,RCAS Cre,,Yes (1),2021-02-15,,"T1, B, L",No,"T1, B, L",,,,No,74,BRAFi + MEKi,,,,,,,44251,44251,44544,44242
ZL,2021-02-22,25641,F,All Alleles,All Alleles,2020-12-12,2021-02-22,"T1: Right shoulder/head; Reason for sac: ulcerating tumor; Skull intact, brain normal.; All organs appeared normal; T1, too small for cryogenic samples/cell lines.; Blood taken",,,,2020-12-14,RCAS myrAkt1,RCAS Cre,,Yes (1),,,"T1, B, L",No,"T1, B, L",,,,No,72,BRAFi + MEKi + FAKi,,,,,,,44249,44249,44179,
ZL,2021-02-22,25645,M,All Alleles,All Alleles,2020-12-12,2021-02-22,"T1: Right shoulder/head; Reason for sac: ulcerating tumor; Skull intact, brain normal.; Lungs abnormally large; T1, for cryogenic samples/cell lines.",,,,2020-12-14,RCAS myrAkt1,RCAS Cre,,Yes (1),,,"T1, B, L",No,"T1, B, L",,,,No,72,BRAFi + MEKi + FAKi,,,,,,,44249,44249,44179,
ZL,2021-02-22,25711,F,All Alleles,All Alleles,2020-12-20,2021-02-22,"T1: Right shoulder/head/under ear; Reason for sac: tumor size; Skull intact, brain normal.; Tumor found in chest cavity but too small to obtain it's own cryogenic samples and cell line. Formalin fized only.; T1, for cryogenic samples/cell lines.; No blood",BRAFi + MEKi + FAKi,,,2020-12-21,RCAS myrAkt1,RCAS Cre,,Yes (1),,,"T1, T2, B, L",No,"T1, T2, B, L",,,,Yes,64,,,,,,,,44249,44249,44186,
ZL,2021-02-19,25643-01,M,All Alleles,All Alleles,2020-12-12,2021-02-19,"T1: Right shoulder/under ear; Reason for sac: Tumor size; Skull intact, brain normal.; All organs appeared normal; T1: 1 cryogenic samples; Blood taken; Cell Line Started",BRAFi + MEKi + FAKi,,,2020-12-14,RCAS myrAkt1,RCAS Cre,,Yes (1),,,"T1, B, L",No,"T1, B, L",,,,No,69,,,,,,,,44246,44246,44179,
ZL,2021-02-17,25754,M,All Alleles,All Alleles,2020-12-27,2021-02-17,"T1: Middle of neck, deep around spinal cord; Reason for sac: paralyzed; Skull intact, brain normal.; All organs appeared normal; T1: 1 cryogenic samples; Blood taken",BRAFi + MEKi + FAKi,,,2020-12-28,RCAS myrAkt1,RCAS Cre,,Yes (1),,,"T1, B, L",No,"T1, B, L",,,,No,52,,,,,,,,44244,44244,44193,
ZL,2021-02-16,24988,M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2020-10-11,2021-02-16,"Sick, breathing weird, very large distended stomach.; Brain slightly large, necrotic tissue/tumor underneath brain and in cavity. No cell line started, most scooped out with brain.; Very disteneded stomach was due to all digestive organs being maximally filled with gas including stomach.",,,,2020-10-12,RCAS Cre-U6sgRNA-ex2-NF1,,,yes,2021-02-16,,Brain,No,"Yes, necrotic tmuor stuck to bottom of brain and cavity, scooped all up and formalin fixed",HCI-20-24988,,yes,No,128,,,,,,,,44243,44243,44116,44243
GP,2021-02-16,25917-00 wh,M,DCT-TVA; Pten f/f; Braf Ca/Ca; Tyr/+,DCT-TVA; Pten f/f; Braf Ca/Ca; Tyr/+,2021-01-13,2021-02-16,Sac'd due to sickness; Sac'd due to general malaise; not able to walk well (tumor? Or cyst impeding leg movement).; Brain intact.; Lungs had small nodule noticed.; No tumor taken for flow cytometry (not very large).,,,,2021-01-05,RCAS Cre,,,Yes? Small tumor/cyst on rear left leg,,,"Brain, Lungs, T1",No,"Brain, Lungs, T1","HCI-21-25917 B, HCI-21-25917 L, HCI-21-25917 T1",,yes,Yes,34,,,,,,,,44243,44243,44201,
GP,2021-02-16,25861-03,M,All Alleles,All Alleles,2021-01-05,2021-02-16,Sac'd due to tumor size; Sac'd due to tumor size (all around neck).; Brain intact.; Lungs had gross visualization of lung nodules.; No other issues noted.; Chunk of tumor taken for flow cytometry.,,,,2021-01-05,myrAKT1 & Cre,,,Yes,2021-02-11,,"Brain, Lungs, T1",No,"Brain, Lungs, T1","HCI-21-25861 B, HCI-21-25861 L, HCI-21-25861 T1",,yes,Yes,42,,,,,,,,44243,44243,44201,44238
GP,2021-02-16,25861-03,M,All Alleles,All Alleles,2021-01-05,2021-02-16,Sac'd due to tumor size; Sac'd due to tumor size (all around neck).; Brain intact.; Lungs had gross visualization of lung nodules.; No other issues noted.; Chunk of tumor taken for flow cytometry.,,,,2021-01-05,myrAKT1 & Cre,,,Yes,2021-02-11,,"Brain, Lungs, T1",No,"Brain, Lungs, T1","HCI-21-25861 B, HCI-21-25861 L, HCI-21-25861 T1",,yes,Yes,42,,,,,,,,44243,44243,44201,44238
ZL,2021-02-15,25709,F,All Alleles,All Alleles,2020-12-20,2021-02-15,T1: R-head/ear; Reason for sac: tumor size; Skull intact; All organs appeared normal; cell line started; T1: 1 cryogenic samples; Blood taken,BRAFi + MEKi + FAKi,,,2020-12-21,RCAS myrAkt1,RCAS Cre,,Yes (1),,,"T1, B, L",No,"T1, B, L",,,,No,57,,,,,,,,44242,44242,44186,
ZL,2021-02-15,25710,F,All Alleles,All Alleles,2020-12-20,2021-02-15,"T1: R-head/ear; Reason for sac: tumor size; Skull intact, swollen brain; All organs appeared normal; cell line started; T1: 1 cryogenic samples; Blood taken",BRAFi + MEKi + FAKi,,,2020-12-21,RCAS myrAkt1,RCAS Cre,,Yes (1),,,"T1, B, L",No,"T1, B, L",,,,No,57,,,,,,,,44242,44242,44186,
CS,2021-02-12,25689-03,F,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2020-12-19,2021-02-10,"Paralyzed; Brain looked normal, no tumor noted anywhere on body/spinal cord.",,,,2021-12-22,RCAS Cre-U6sgRNA-ex2-NF1,,,No,2/9/2021 (paralysis),,Brain,No,full brain,HCI-20-25689,,yes,No,53,,,,,,,,44239,44237,44552,2/9/2021 (paralysis)
CS,2021-02-12,25854-30,F,All Alleles,All Alleles,2021-01-04,2021-02-12,"Labored Breathing; Brain looked normal, lungs were mangled with many nodules. Tumor within chest cavity.",,,,2021-01-05,myrAKT1 & Cre,,,Yes,2021-02-11,,Brain,No,full brain,HCI-20-25689,,yes,Yes,39,,,,,,,,44239,44239,44201,44238
ZL,2021-02-10,25689-03,F,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2020-12-19,2021-02-10,"Paralyzed; Brain looked normal, no tumor noted anywhere on body/spinal cord.",,,,2021-12-22,RCAS Cre-U6sgRNA-ex2-NF1,,,No,2/9/2021 (paralysis),,Brain,No,full brain,HCI-20-25689,,yes,No,53,,,,,,,,44237,44237,44552,2/9/2021 (paralysis)
ZL,2021-02-08,25588,M,All Alleles,All Alleles,2020-12-07,2021-02-08,"Upper R shoulder and head; Reason for sac: tumor size; Brain a little damaged when removing tumor from skull.; All organs appeared normal; T1: Sample frozen, cell line made; Blood taken and serum frozen",FAKi,,,2020-12-09,RCAS myrAkt1,RCAS Cre,,Yes (1),,,"T1, B, L",No,"T1, B, L",,,,Yes,63,,,,,,,,44235,44235,44174,
RE,2021-02-02,28897-00,M,DCT-TVA::Ptenf/f;Brafca/ca,DCT-TVA::Ptenf/f;Brafca/ca,2021-12-20,2022-02-02,Lethargic; Bump on the head; Skinny; Brain was abnormally large and soft. Small amout of liquid surrounded the brain. Lungs were small. Possible hydrocephaly.,,,,2021-12-23,RCAS myr-HA-AKT1 + RCAS Cre (12/23/21 GP),,,Not a primary tumor,,,"Brain, Lungs, Liver",No,"Brain, Lungs, Liver",,,,No,44,,,,,,,,44229,44594,44553,
RE,2021-02-02,28897-00,M,DCT-TVA::Ptenf/f;Brafca/ca,DCT-TVA::Ptenf/f;Brafca/ca,2021-12-20,2022-02-02,Lethargic; Bump on the head; Skinny; Brain was abnormally large and soft. Small amout of liquid surrounded the brain. Lungs were small. Possible hydrocephaly.,,,,2021-12-23,RCAS myr-HA-AKT1 + RCAS Cre (12/23/21 GP),,,Not a primary tumor,,,"Brain, Lungs, Liver",No,"Brain, Lungs, Liver",,,,No,44,,,,,,,,44229,44594,44553,
RF,2021-02-02,28913-01,F,All Alleles,DCT-TVA::Ptenf/f;Inkf/f;Brafca/ca,2021-12-22,2022-02-02,"Lethargic; Bump on head (appeared to be tumor at base of the skull; two other mice in cage recently died without symptom; Brain was large and soft. No primary tumor was found at base of skull, though that was likely just the swollen brain pressing on the skull. Upon opening the chest cavity, many tumors were found (4-5 tumors much larger than the heart). This was similarly seen on mouse 28914 which was found dead and in rigor mortis but was opened to investigate. Sheri mentioned this may be mycoplasma contamination.",,,,2021-12-23,RCAS myr-HA-AKT1 + RCAS Cre (12/23/21 GP),,,No primary tumor found. Many tumors found in chest cavity,,,"Brain, Lungs, Liver, Tumors",No,"Brain, Lungs, Liver, Tumors",,,,Yes,42,,,,,,,,44229,44594,44553,
ZL,2021-02-01,25028,F,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,2020-10-13,2021-02-01,"Paralyzed; Brain looked normal, no tumor noted anywhere on body/spinal cord.",,,,2020-10-14,RCAS Cre-U6sgRNA-ex2-NF1,,,No,1/29/2021 (paralysis),,Brain,No,full brain,HCI-20-25028,,yes,No,111,,,,,,,,44228,44228,44118,1/29/2021 (paralysis)
ZL,2021-02-01,25260,M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,2020-11-06,2021-02-01,"swollen head, very sick (skinny and hunched over); Brain was completely hollow and extremely swollen full of clear liquid and blood. Harvested all in one piece. No sign of tumor.",,,,2020-11-08,RCAS Cre-U6sgRNA-ex2-NF1,,,No,2021-01-20,,Brain,No,full brain,HCI-20-25260,,yes,No,87,,,,,,,,44228,44228,44143,44216
